[2024-07-17T10:01:08.947Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 2ms
[2024-07-17T10:05:45.578Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 401 || RESPONSE TIME: 6ms
[2024-07-17T10:06:08.367Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 52ms
[2024-07-17T10:06:08.410Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 2ms
[2024-07-17T10:06:13.681Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 401 || RESPONSE TIME: 1ms
[2024-07-17T10:06:15.395Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 52ms
[2024-07-17T10:06:15.438Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T10:06:16.911Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 2ms
[2024-07-17T10:07:55.443Z] - POST http://localhost:8000/api/auth/logout || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T10:11:25.066Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 401 || RESPONSE TIME: 5ms
[2024-07-17T10:15:29.585Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 241ms
[2024-07-17T10:15:29.629Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 401 || RESPONSE TIME: 1ms
[2024-07-17T10:15:41.506Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 239ms
[2024-07-17T10:15:41.551Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 401 || RESPONSE TIME: 2ms
[2024-07-17T10:15:51.521Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 56ms
[2024-07-17T10:15:51.564Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 2ms
[2024-07-17T10:15:51.588Z] - GET http://localhost:8000/api/users || STATUS CODE: 304 || RESPONSE TIME: 3ms
[2024-07-17T10:15:51.597Z] - GET http://localhost:8000/assets/anthoyn.jpg || STATUS CODE: 304 || RESPONSE TIME: 3ms
[2024-07-17T10:15:51.598Z] - GET http://localhost:8000/assets/AFAC%20(square).jpeg.png || STATUS CODE: 304 || RESPONSE TIME: 3ms
[2024-07-17T10:15:55.396Z] - GET http://localhost:8000/api/discussions || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T10:27:03.833Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T10:27:04.866Z] - GET http://localhost:8000/api/users || STATUS CODE: 200 || RESPONSE TIME: 3ms
[2024-07-17T10:27:05.893Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T10:27:05.941Z] - GET http://localhost:8000/api/users || STATUS CODE: 304 || RESPONSE TIME: 3ms
[2024-07-17T10:27:05.966Z] - GET http://localhost:8000/assets/anthoyn.jpg || STATUS CODE: 304 || RESPONSE TIME: 2ms
[2024-07-17T10:27:05.967Z] - GET http://localhost:8000/assets/AFAC%20(square).jpeg.png || STATUS CODE: 304 || RESPONSE TIME: 2ms
